business_name,address,owner_name,email,phone,website,category,city,source
Sphere Tim Raue,"Alexanderplatz, Panoramastraße 1A, 10178 Berlin, Germany",,,030 247575875,http://www.tv-turm.de/,german restaurant,"Berlin, Germany",google_maps
Schnitzelei Mitte,"Chausseestr. 8, Novalisstraße 11, 10115 Berlin, Germany",,mitte@schnitzelei.de,030 32519422,https://schnitzelei.de/mitte/,german restaurant,"Berlin, Germany",google_maps
A Mano,"Strausberger Pl. 2, 10243 Berlin, Germany",,,030 95598243,http://www.amano-ristorante.de/,italian restaurant,"Berlin, Germany",google_maps
NENI Berlin,"Budapester Str. 40, 10787 Berlin, Germany",,,030 120221201,https://nenifood.com/restaurants/berlin,mediterranean restaurant,"Berlin, Germany",google_maps
Restaurant Maximilians Berlin,"Friedrichstraße 185-190, 10117 Berlin, Germany",,,030 20450559,https://www.maximilians-berlin.de/,bavarian restaurant,"Berlin, Germany",google_maps
Zur Gerichtslaube,"Poststraße 28, 10178 Berlin, Germany",,info@gerichtslaube.de,030 2415697,http://www.gerichtslaube.de/,german restaurant,"Berlin, Germany",google_maps
Nante-Eck | Restaurant Berlin Mitte,"Unter den Linden 35, 10117 Berlin, Germany",,,030 22487257,https://www.nante-eck.de/,german restaurant,"Berlin, Germany",google_maps
Amrit,"Oranienburger Str. 45, 10117 Berlin, Germany",,info@amrit.de,030 28884840,https://www.amrit.de/,indian restaurant,"Berlin, Germany",google_maps
Restaurant Facil,"Potsdamer Str. 3, 10785 Berlin, Germany",,welcome@facil.de,030 590051234,https://facil.de/de/,fine dining restaurant,"Berlin, Germany",google_maps
Gaffel Haus Berlin - Das Kölsche Konsulat in der Hauptstadt,"Direkt neben dem Maritim proArte Hotel, Dorotheenstraße 65, 10117 Berlin, Germany",,berlin@gaffel-haus.de,030 31011693,http://www.gaffel-haus-berlin.de/,german restaurant,"Berlin, Germany",google_maps
Elefant,"Fuggerstraße 18, 10777 Berlin, Germany",,,030 23607346,https://restaurant-elefant.de/,german restaurant,"Berlin, Germany",google_maps
BLOCK HOUSE Am Alexanderplatz,"Karl-Liebknecht-Str. 7, 10178 Berlin, Germany",,,030 2423300,https://www.block-house.de/restaurants/berlin/am-alexanderplatz,steak house,"Berlin, Germany",google_maps
Restaurant Trattoria Portofino,"Gubener Str. 48, 10243 Berlin, Germany",,info@portofino-trattoria.de,030 23910610,http://www.portofino-trattoria.de/,italian restaurant,"Berlin, Germany",google_maps
Night Kitchen,"Heckmann Höfe, Oranienburger Str. 32, 10115 Berlin, Germany",,,030 23575075,https://www.nightkitchenberlin.com/,mediterranean restaurant,"Berlin, Germany",google_maps
Boulevard Friedrichstrasse,"Friedrichstraße 106C, 10117 Berlin, Germany",,mail@boulevard-friedrichstrasse.de,030 2833437,http://www.boulevard.berlin/,german restaurant,"Berlin, Germany",google_maps
Alt-Berliner Wirtshaus,"Wilhelmstraße 77, 10117 Berlin, Germany",,wirtshaus@hamanns-gastronomie.de,030 22488205,http://www.altberliner-wirtshaus.de/,german restaurant,"Berlin, Germany",google_maps
Ständige Vertretung,"Schiffbauerdamm 8, 10117 Berlin, Germany",,berlin@staev.de,030 2823965,https://www.staev.de/berlin-mitte.html,german restaurant,"Berlin, Germany",google_maps
Dicke Wirtin,"Carmerstraße 9, 10623 Berlin, Germany",,post@dicke-wirtin.de,030 3124952,https://dicke-wirtin.de/,german restaurant,"Berlin, Germany",google_maps
Restauration 1840,"Am Zwirngraben 8-10, 10178 Berlin, Germany",,restaurant@berlin-1840.de,030 24727401,https://www.berlin-1840.de/,german restaurant,"Berlin, Germany",google_maps
Girl & The Goat,"809 W Randolph St, Chicago, IL 60607, USA",,,(312) 492-6262,http://www.girlandthegoat.com/,seafood restaurant,"Chicago, USA",google_maps
The Dearborn,"145 N Dearborn St, Chicago, IL 60602, USA",,,(312) 384-1242,http://www.thedearborntavern.com/,american restaurant,"Chicago, USA",google_maps
Aba,"302 N Green St 3rd Floor, Chicago, IL 60607, USA",,,(773) 645-1400,http://www.abarestaurants.com/,mediterranean restaurant,"Chicago, USA",google_maps
River Roast,"315 N LaSalle St, Chicago, IL 60654, USA",,,(312) 822-0100,https://www.riverroastchicago.com/,american restaurant,"Chicago, USA",google_maps
Alla Vita,"564 W Randolph St, Chicago, IL 60661, USA",,info@allavitachicago.com,(312) 667-0104,https://www.allavitachicago.com/,restaurant,"Chicago, USA",google_maps
The Purple Pig Restaurant,"444 Michigan Ave, Chicago, IL 60611, USA",,,(312) 464-1744,https://thepurplepigchicago.com/,mediterranean restaurant,"Chicago, USA",google_maps
Carnivale Chicago,"702 W Fulton St, Chicago, IL 60661, USA",,,(312) 850-5005,https://www.carnivalechicago.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing,restaurant,"Chicago, USA",google_maps
Elephant & Castle,"185 N Wabash Ave, Chicago, IL 60601, USA",,,(312) 345-1710,https://www.elephantcastle.com/en/locations/il/chicago/185-north-wabash-avenue,restaurant,"Chicago, USA",google_maps
"AMBAR Restaurant, Chicago","700 N Clark St, Chicago, IL 60654, USA",,,(312) 547-1700,https://ambarrestaurant.com/ambarchicago?utm_source=google,restaurant,"Chicago, USA",google_maps
Beatnik On The River,"180 N Wacker Dr, Chicago, IL 60606, USA",,,(312) 526-3345,http://beatnikontheriver.com/,mediterranean restaurant,"Chicago, USA",google_maps
Remington's,"20 N Michigan Ave, Chicago, IL 60602, USA",,,(312) 782-6000,http://www.remingtonschicago.com/?y_source=1_NDYzMDg0MTYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,american restaurant,"Chicago, USA",google_maps
Boka,"1729 N Halsted St, Chicago, IL 60614, USA",,events@bokachicago.com,(312) 337-6070,http://www.bokachicago.com/,american restaurant,"Chicago, USA",google_maps
STK Steakhouse,"9 W Kinzie St, Chicago, IL 60654, USA",,,(312) 340-5636,https://stksteakhouse.com/venues/chicago/,steak house,"Chicago, USA",google_maps
Lou Mitchell's,"565 W Jackson Blvd, Chicago, IL 60661, USA",,,(312) 939-3111,http://www.loumitchells.com/,breakfast restaurant,"Chicago, USA",google_maps
Il Porcellino,"59 W Hubbard St #2, Chicago, IL 60654, USA",Missing Points,,(312) 595-0800,http://ilporcellinochicago.com/,italian restaurant,"Chicago, USA",google_maps
The Exchange,"224 S Michigan Ave, Chicago, IL 60604, USA",,,(312) 265-0591,https://www.thexchangechicago.com/?y_source=1_OTI3ODQyODgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,american restaurant,"Chicago, USA",google_maps
Gibsons Italia,"233 N Canal St, Chicago, IL 60606, USA",,,(312) 414-1100,https://www.gibsonsitalia.com/,italian restaurant,"Chicago, USA",google_maps
The Berghoff Restaurant,"17 W Adams St, Chicago, IL 60603, USA",,jamaal@berghoff.com,(312) 427-3170,https://www.theberghoff.com/,german restaurant,"Chicago, USA",google_maps
Roanoke Restaurant,"135 W Madison St, Chicago, IL 60602, USA",,info@roanokehospitality.com,(312) 361-3800,http://www.theroanokerestaurant.com/,cocktail bar,"Chicago, USA",google_maps
Cindy's Rooftop,"12 S Michigan Ave, Chicago, IL 60603, USA",,cindysinfo@caa.bokagrp.com,(312) 792-3502,http://www.cindysrooftop.com/,restaurant,"Chicago, USA",google_maps
Lost & Found,"160 W Gray St, Houston, TX 77019, USA",,,(832) 649-3050,https://www.lostandfoundmidtown.com/,bar and grill,"Houston, USA",google_maps
Bungalow,"407 Main St, Houston, TX 77002, USA",,reservation@alifehospitality.com,(713) 393-7868,https://bungalowdining.com/,steak house,"Houston, USA",google_maps
Hull & Oak,"1070 Dallas St, Houston, TX 77002, USA",,,(713) 242-8555,https://hullandoak.com/,american restaurant,"Houston, USA",google_maps
Lucille's,"5512 La Branch St, Houston, TX 77004, USA",,,(713) 568-2505,https://www.lucilleshouston.net/,brunch restaurant,"Houston, USA",google_maps
The Chefs Table Houston,"110 Vintage Park Blvd Building J Suite P, Houston, TX 77070, USA",,,(832) 559-7489,https://www.chefstablehouston.com/,fine dining restaurant,"Houston, USA",google_maps
State of Grace,"3258 Westheimer Rd, Houston, TX 77098, USA",,eventsstateofgrace@rocketfarmrestaurants.com,(832) 942-5080,http://www.stateofgracetx.com/,american restaurant,"Houston, USA",google_maps
Aquarium Restaurant,"410 Bagby St, Houston, TX 77002, USA",,,(713) 315-5126,https://www.downtownaquariumhouston.com/aquarium-restaurant,seafood restaurant,"Houston, USA",google_maps
JOEY Uptown,"5045 Westheimer Rd Suite X01, Houston, TX 77056, USA",,accessibility@joeyrestaurants.com,(346) 646-5639,https://joeyrestaurants.com/location/joey-uptown,restaurant,"Houston, USA",google_maps
Brenner's on the Bayou,"1 Birdsall St, Houston, TX 77007, USA",The Team About,,(713) 868-4444,https://www.brennerssteakhouse.com/location/brenners-on-the-bayou/,restaurant,"Houston, USA",google_maps
Gotti's,"811 St Emanuel St, Houston, TX 77003, USA",,,(713) 405-3500,https://www.gottis.com/,cajun restaurant,"Houston, USA",google_maps
Taste of Texas,"10505 Katy Fwy, Houston, TX 77024, USA",,,(713) 932-6901,http://www.tasteoftexas.com/,steak house,"Houston, USA",google_maps
Nancy's Hustle,"2704 Polk St A, Houston, TX 77003, USA",,info@nancyshustle.com,(346) 571-7931,http://nancyshustle.com/,american restaurant,"Houston, USA",google_maps
Good Times,"2100 Travis St Ste 160, Houston, TX 77002, USA",,,(832) 804-7255,https://houstongoodtimes.com/,american restaurant,"Houston, USA",google_maps
Hillstone,"4848 Kirby Dr, Houston, TX 77098, USA",,,(713) 529-2385,https://hillstonerestaurant.com/locations/houston/#,american restaurant,"Houston, USA",google_maps
La Fisheria,"213 Milam St, Houston, TX 77002, USA",,lafisheria.downtown@gmail.com,(713) 802-1712,http://www.lafisheriahtx.com/,mexican restaurant,"Houston, USA",google_maps
Josephine's,"318 Gray St, Houston, TX 77002, USA",,josephinesgulfcoast@gmail.com,(713) 527-8988,https://josephinesgulfcoasttradition.com/,seafood restaurant,"Houston, USA",google_maps
The Finn,"712 Main St, Houston, TX 77002, USA",,,(713) 357-5115,https://www.thefinnhou.com/,restaurant,"Houston, USA",google_maps
La Griglia,"2817 W Dallas St, Houston, TX 77019, USA",,,(713) 526-4700,https://www.lagrigliarestaurant.com/location/la-griglia/,italian restaurant,"Houston, USA",google_maps
Moxies Houston Restaurant,"5000 Westheimer Rd, Houston, TX 77056, USA",,jdesjardins@eatzhospitality.com,(346) 571-6164,https://moxies.com/restaurants/houston?utm_source=GMB&utm_medium=google-location-listing&utm_campaign=organic,restaurant,"Houston, USA",google_maps
Roost,"1972 Fairview St, Houston, TX 77019, USA",,,(713) 523-7667,http://www.iloveroost.com/,american restaurant,"Houston, USA",google_maps
Tattu London,"The Now Building Rooftop, Outernet, Denmark St, London WC2H 0LA, UK",,london@tattu.co.uk,020 3778 1985,https://tattu.co.uk/locations/tattu-london/,asian restaurant,"London, UK",google_maps
Fallow,"52 Haymarket, London SW1Y 4RP, UK",,,020 8017 1788,http://www.fallowrestaurant.com/,british restaurant,"London, UK",google_maps
Evelyn's Table,"28 Rupert St, London W1D 6DJ, UK",,,,http://theblueposts.co.uk/evelyns-table/,fine dining restaurant,"London, UK",google_maps
HIDE,"85 Piccadilly, London W1J 7NB, UK",,info@hide.co.uk,020 3146 8666,https://hide.co.uk/?utm_source=gbp&utm_medium=organic,fine dining restaurant,"London, UK",google_maps
The Wolseley,"160 Piccadilly, London W1J 9EB, UK",,reservations@thewolseley.com,020 7499 6996,http://www.thewolseley.com/,british restaurant,"London, UK",google_maps
Rules,"35 Maiden Ln, London WC2E 7LB, UK",,pr@rules.co.uk,020 7836 5314,http://www.rules.co.uk/,british restaurant,"London, UK",google_maps
Blacklock Covent Garden,"16a Bedford St, London WC2E 9HE, UK",,coventgarden@theblacklock.com,020 3034 1394,https://theblacklock.com/coventgarden-reservations/?utm_source=GMB&utm_medium=website+click&utm_campaign=SDM&utm_id=GMB,restaurant,"London, UK",google_maps
Gymkhana,"42 Albemarle St, London W1S 4JH, UK",,,020 3011 5900,http://www.gymkhanarestaurants.com/,indian restaurant,"London, UK",google_maps
Bill's Covent Garden Restaurant,"St Martin's Courtyard, Slingsby Pl, London WC2H 9EF, UK",,,020 8054 5400,https://bills-website.co.uk/restaurants/covent-garden/?utm_source=LocalGoogle&utm_medium=Organic,british restaurant,"London, UK",google_maps
Berners Tavern,"10 Berners St, London W1T 3NP, UK",The Team Contact,eh.loneb.events@editionhotels.com,020 7908 7979,http://www.bernerstavern.com/,british restaurant,"London, UK",google_maps
Ekstedt at The Yard,"3-5 Great Scotland Yard, London SW1A 2HN, UK",,enquiries.ekstedt@greatscotlandyard.com,020 7925 4749,https://www.ekstedtattheyard.com/,scandinavian restaurant,"London, UK",google_maps
Bantof,"31 Great Windmill St, London W1D 7LW, UK",,info@bantof.com,07548 373755,https://bantof.com/,restaurant,"London, UK",google_maps
Happy London,"25-29 Coventry St, Piccadilly Circus, London W1D 7AG, UK",,,020 3883 7874,https://happyrestaurants.com/,restaurant,"London, UK",google_maps
OMA,"3 Bedale St, London SE1 9AL, UK",,hello@oma.london,020 8129 6760,http://oma.london/,greek restaurant,"London, UK",google_maps
Scully,"4 St James's Market, London SW1Y 4AH, UK",,,07359 519227,http://www.scullyrestaurant.com/,fine dining restaurant,"London, UK",google_maps
Nonos,"112 Judd St, London WC1H 9NT, UK",,contact@nonos.co.uk,020 7278 9700,http://nonos.co.uk/,greek restaurant,"London, UK",google_maps
Colonel Saab High Holborn,"193-197 High Holborn, London WC1V 7BD, UK",,,020 8016 6800,https://colonelsaab.co.uk/,indian restaurant,"London, UK",google_maps
Osteria romana,"3-4 Park Cl, London SW1X 7PQ, UK",,info@osteriaromana.co.uk,020 7584 5819,http://osteriaromana.co.uk/,italian restaurant,"London, UK",google_maps
Prezzo,"31-32 Northumberland Ave, London WC2N 5BW, UK",,,020 3910 9777,https://www.prezzo.co.uk/restaurants/london-northumberland-avenue/,italian restaurant,"London, UK",google_maps
Inca London,"8-9 Argyll St, London W1F 7TF, UK",,reservations@incalondon.com,020 7734 6066,http://www.incalondon.com/home,south american restaurant,"London, UK",google_maps
Bottega Louie,"700 S Grand Ave, Los Angeles, CA 90017, USA",,,(213) 802-1470,http://www.bottegalouie.com/,italian restaurant,"Los Angeles, USA",google_maps
Chi Spacca,"6610 Melrose Ave, Los Angeles, CA 90038, USA",,,(323) 297-1133,http://www.chispacca.com/,italian restaurant,"Los Angeles, USA",google_maps
Musso & Frank Grill,"6667 Hollywood Blvd, Hollywood, CA 90028, USA",,,(323) 467-7788,http://www.mussoandfrank.com/,american restaurant,"Los Angeles, USA",google_maps
Redbird,"114 E 2nd St, Los Angeles, CA 90012, USA",,info@redbird.la,(213) 788-1191,http://www.redbird.la/,brunch restaurant,"Los Angeles, USA",google_maps
Holbox,"3655 S Grand Ave c9, Los Angeles, CA 90007, USA",,,(213) 986-9972,http://www.holboxla.com/,seafood restaurant,"Los Angeles, USA",google_maps
Philippe The Original,"1001 N Alameda St, Los Angeles, CA 90012, USA",,customerservice@philippes.com,(213) 628-3781,https://www.philippes.com/,sandwich shop,"Los Angeles, USA",google_maps
République Café Bakery & République Restaurant,"624 S La Brea Ave, Los Angeles, CA 90036, USA",,events@republiquela.com,(310) 362-6115,http://www.republiquela.com/,french restaurant,"Los Angeles, USA",google_maps
Home Restaurant,"1760 Hillhurst Ave, Los Angeles, CA 90027, USA",,,(323) 990-8016,https://www.homerestaurantla.com/,bar and grill,"Los Angeles, USA",google_maps
Running Goose,"1620 N Cahuenga Blvd, Los Angeles, CA 90028, USA",,,(323) 469-1080,https://runningoose.com/,restaurant,"Los Angeles, USA",google_maps
The Little Jewel of New Orleans,"207 Ord St, Los Angeles, CA 90012, USA",,,(213) 620-0461,https://littlejewel.net/?utm_source=google,cajun restaurant,"Los Angeles, USA",google_maps
Fleming’s Prime Steakhouse & Wine Bar,"800 W Olympic Blvd Suite A-135, Los Angeles, CA 90015, USA",,,(213) 745-9911,https://www.flemingssteakhouse.com/Locations/CA/Los-Angeles?y_source=1_MTU1MDMxOTctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,fine dining restaurant,"Los Angeles, USA",google_maps
Oste,"8142 W 3rd St, Los Angeles, CA 90048, USA",,ostelosangeles@outlook.com,(323) 413-2372,http://ostelosangeles.com/,italian restaurant,"Los Angeles, USA",google_maps
Maccheroni Republic,"332 S Broadway, Los Angeles, CA 90013, USA",,,(213) 346-9725,http://www.maccheronirepublic.com/,italian restaurant,"Los Angeles, USA",google_maps
Joyce,"770 S Grand Ave A, Los Angeles, CA 90017, USA",,,(213) 395-0202,https://www.joycela.com/,cocktail bar,"Los Angeles, USA",google_maps
Placita Olvera 🇲🇽,"5-11 Olvera St, Los Angeles, CA 90012, USA",,,,,gift shop,"Los Angeles, USA",google_maps
Marugame Monzo,"329 1st St, Los Angeles, CA 90012, USA",,,(213) 346-9762,,japanese restaurant,"Los Angeles, USA",google_maps
San Laurel,"100 S Grand Ave, Los Angeles, CA 90012, USA",,,(213) 349-8585,https://www.sanlaurel.com/,spanish restaurant,"Los Angeles, USA",google_maps
Crossroads Kitchen,"8284 Melrose Ave, Los Angeles, CA 90046, USA",,,(323) 782-9245,http://www.crossroadskitchen.com/,vegan restaurant,"Los Angeles, USA",google_maps
Daikokuya Little Tokyo,"327 1st St, Los Angeles, CA 90012, USA",,,(213) 626-1680,https://group.bishamon-ten.com/daikokuya/littletokyo,ramen restaurant,"Los Angeles, USA",google_maps
Hard Rock Cafe,"6801 Hollywood Blvd Suite 105, Los Angeles, CA 90028, USA",,,(323) 464-7625,https://cafe.hardrock.com/hollywood-on-hollywood-blvd/#utm_source=Google&utm_medium=Yext&utm_campaign=Listings,restaurant,"Los Angeles, USA",google_maps
Farmer's Daughters,"95 Exhibition Street, 80 Collins Precinct, Melbourne VIC 3000, Australia",,info@farmersdaughters.com.au,(03) 9116 8682,https://www.farmersdaughters.com.au/?utm_source=Google&utm_medium=GMB&utm_campaign=Map,restaurant,"Melbourne, Australia",google_maps
NOMAD Melbourne,"187 Flinders Ln, Melbourne VIC 3000, Australia",,eat@nomad.melbourne,(03) 9021 5240,https://nomad.melbourne/,restaurant,"Melbourne, Australia",google_maps
Maha Restaurant,"21 Bond St, Melbourne VIC 3000, Australia",,admin@maharestaurant.com.au,(03) 9629 5900,http://maharestaurant.com.au/,middle eastern restaurant,"Melbourne, Australia",google_maps
Freyja,"477 Collins St, Melbourne VIC 3000, Australia",,hello@freyjarestaurant.com,(03) 8688 7141,https://www.freyjarestaurant.com/,restaurant,"Melbourne, Australia",google_maps
Gimlet,"33 Russell St, Melbourne VIC 3000, Australia",,frontdesk@gimlet.melbourne,(03) 9277 9777,https://gimlet.melbourne/,restaurant,"Melbourne, Australia",google_maps
La Cucina Melbourne,"Corner of Cosgrave lane, opposite Holey Moley, 628 Little Bourke St, Melbourne VIC 3000, Australia",,info@lacucinamelbourne.com.au,(03) 8456 7682,https://www.lacucinamelbourne.com.au/,italian restaurant,"Melbourne, Australia",google_maps
Supernormal,"180 Flinders Ln, Melbourne VIC 3000, Australia",,info@supernormal.net.au,(03) 9650 8688,http://www.supernormal.net.au/,asian fusion restaurant,"Melbourne, Australia",google_maps
Palermo,"401 Little Bourke St, Melbourne VIC 3000, Australia",,info@palermo.melbourne,(03) 9002 1600,https://www.palermo.melbourne/?utm_source=google&utm_medium=gmb,argentinian restaurant,"Melbourne, Australia",google_maps
HER,"270 Lonsdale St, Melbourne VIC 3000, Australia",,,(03) 9997 0437,http://www.her.melbourne/,bar,"Melbourne, Australia",google_maps
Tipo 00,"361 Little Bourke St, Melbourne VIC 3000, Australia",,eat@tipooo.com.au,(03) 9942 3946,https://www.tipo00.com.au/,italian restaurant,"Melbourne, Australia",google_maps
Vue de monde,"55 Rialto Towers, 525 Collins St, Melbourne VIC 3000, Australia",,vuedemonde@vuedemonde.com.au,(03) 9691 3888,http://www.vuedemonde.com.au/,fine dining restaurant,"Melbourne, Australia",google_maps
Kiss & Tell,"Level 1/37-41 Little Bourke St, Melbourne VIC 3000, Australia",,info@mamasdininggroup.com.au,(03) 9095 6614,http://kissandtell.melbourne/,asian fusion restaurant,"Melbourne, Australia",google_maps
Society,"80 Collins St, Melbourne VIC 3000, Australia",,bookings@societyrestaurant.com,(03) 8618 8900,https://www.societyrestaurant.com/,restaurant,"Melbourne, Australia",google_maps
The George on Collins,"162-168 Collins St, Melbourne VIC 3000, Australia",,info@thegeorgeoncollins.com.au,(03) 9663 7226,http://www.thegeorgeoncollins.com.au/,asian restaurant,"Melbourne, Australia",google_maps
Sezar Restaurant,"6 Melbourne Pl, Melbourne VIC 3000, Australia",,info@sezar.com.au,(03) 9663 9882,http://sezar.com.au/,eastern european restaurant,"Melbourne, Australia",google_maps
MoVida,"1 Hosier Ln, Melbourne VIC 3000, Australia",,reservations@movida.com.au,(03) 9663 3038,https://www.movida.com.au/,spanish restaurant,"Melbourne, Australia",google_maps
Osteria Ilaria,"367 Little Bourke St, Melbourne VIC 3000, Australia",,eat@osteriailaria.com,(03) 9642 2287,http://www.osteriailaria.com/,italian restaurant,"Melbourne, Australia",google_maps
Chin Chin,"125 Flinders Ln, Melbourne VIC 3000, Australia",,eat@chinchinrestaurant.com.au,(03) 8663 2000,https://www.chinchin.melbourne/,asian restaurant,"Melbourne, Australia",google_maps
Meatmaiden,"195 Little Collins St, Melbourne VIC 3000, Australia",,info@meatmaiden.com.au,(03) 9078 7747,http://www.meatmaiden.com.au/,steak house,"Melbourne, Australia",google_maps
Attica,"74 Glen Eira Rd, Ripponlea VIC 3185, Australia",,,(03) 9530 0111,http://www.attica.com.au/,fine dining restaurant,"Melbourne, Australia",google_maps
Crazy About You,"1155 Brickell Bay Dr PH101, Miami, FL 33131, USA",,info@passionrestaurantgroup.com,(305) 377-4442,https://passionrestaurantgroup.com/restaurants/crazy-about-you/,american restaurant,"Miami, USA",google_maps
Sexy Fish Miami,"1001 S Miami Ave, Miami, FL 33130, USA",,,(305) 889-7888,https://sexyfishmiami.com/?utm_source=LocalGoogleExtNet&utm_medium=Organic,japanese restaurant,"Miami, USA",google_maps
Rusty Pelican Miami,"3201 Rickenbacker Cwy, Key Biscayne, FL 33149, USA",,,(305) 361-3818,https://www.therustypelican.com/,seafood restaurant,"Miami, USA",google_maps
Tanuki River Landing,"1420 NW N River Dr, Miami, FL 33125, USA",,,(305) 433-2436,https://tanukimiami.com/?utm_source=google,asian fusion restaurant,"Miami, USA",google_maps
CASA NEOS,"40 SW North River Dr, Miami, FL 33128, USA",,reservations@casa-neos.com,(305) 800-6367,https://www.casa-neos.com/,mediterranean restaurant,"Miami, USA",google_maps
Gordon Ramsay Hell's Kitchen - Miami,"333 Biscayne Blvd Way, Miami, FL 33131, USA",,rgrhigh@gordonramsay.com,(786) 688-0082,https://www.gordonramsayrestaurants.com/en/us/hells-kitchen/locations/miami,restaurant,"Miami, USA",google_maps
Komodo Miami,"801 Brickell Ave, Miami, FL 33131, USA",,info@komodomiami.com,(305) 534-2211,https://komodomiami.com/,restaurant,"Miami, USA",google_maps
Fiore Caffe Miami,"228 SE 1st St, Miami, FL 33131, USA",,fiorecafemiami@gmail.com,(786) 558-5152,https://fiorecaffemiami.com/,breakfast restaurant,"Miami, USA",google_maps
Rosa Sky,"115 SW 8th St 22nd Floor, Miami, FL 33130, USA",,,(786) 628-1515,https://rosaskyrooftop.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,cocktail bar,"Miami, USA",google_maps
