business_name,email,phone,website,city,address,owner_name,category
Bleeding Heart Bistro,bookings@bleedingheart.co.uk,020 7242 8238,http://www.bleedingheart.co.uk/,"London, UK",,,french restaurant
Old Compton Brasserie,bookings@oldcomptonbrasserie.co.uk,020 7434 2214,http://www.oldcomptonbrasserie.co.uk/,"London, UK",,,restaurant
Bouchon Racine,bonjour@bouchonracine.com,020 7253 3368,https://www.bouchonracine.com/new-home,"London, UK",,,french restaurant
64 Goodge Street,info@64goodgestreet.co.uk,020 3747 6364,http://64goodgestreet.co.uk/,"London, UK",,,french restaurant
Boulevard Brasserie,bookings@boulevardbrasserie.co.uk,020 7240 2992,http://www.boulevardbrasserie.co.uk/,"London, UK",,,french restaurant
Le Garrick,info@legarrick.co.uk,020 7240 7649,https://www.legarrick.co.uk/,"London, UK",,,french restaurant
A Food Affair,afoodaffair@gmail.com,(310) 557-9795,http://afoodaffair.com/,"Los Angeles, USA",,,french restaurant
Blacklock Manchester,hello@theblacklock.com,0161 414 0225,https://theblacklock.com/restaurants/manchester/,"Manchester, UK",,,steak house
THE BRASSERIE,info@mercuremanchester.co.uk,0161 751 1412,https://www.mercuremanchester.co.uk/manchester-restaurant/,"Manchester, UK",,,restaurant
Higher Ground,hello@highergroundmcr.co.uk,0161 470 9821,http://highergroundmcr.co.uk/,"Manchester, UK",,,british restaurant
The Sparrows Continental Pasta & Spätzle,info@thesparrows.me,0161 302 6267,https://thesparrows.me/,"Manchester, UK",,,dumpling restaurant
Cosy Club,manchesterbookings@cosyclub.co.uk,0161 933 8255,https://cosyclub.co.uk/location/manchester/,"Manchester, UK",,,british restaurant
Adam Reid at The French,info@adam-reid.co.uk,,http://www.the-french-manchester.co.uk/,"Manchester, UK",,,french restaurant
Bon Ap' Petit Bistro,info@bonap.com.au,(03) 9415 9450,https://www.bonap.com.au/,"Melbourne, Australia",,,french restaurant
Bistrot Bisou,bonjour@bistrotbisou.com.au,(03) 9612 5757,http://www.bistrotbisou.com.au/,"Melbourne, Australia",,,french restaurant
Bistra,info@bistracarlton.com.au,(03) 9000 5607,https://www.bistracarlton.com.au/,"Melbourne, Australia",,,restaurant
The European,info@theeuropean.com.au,(03) 9654 0811,http://www.theeuropean.com.au/,"Melbourne, Australia",,,european restaurant
Chancery Lane,info@chancerylane.com.au,(03) 9089 7598,http://www.chancerylane.com.au/,"Melbourne, Australia",,,restaurant
Tartine,info@tartine.com.au,(03) 9428 3339,http://www.tartine.com.au/,"Melbourne, Australia",,,french restaurant
Le Petit Bistro,info@lepetitbistro.com.au,(03) 9822 1161,https://lepetitbistro.com.au/,"Melbourne, Australia",,,french restaurant
French Saloon,info@frenchsaloon.com,(03) 9600 2142,https://frenchsaloon.com/,"Melbourne, Australia",,,restaurant
Bistró Chapultepec,rrppbistro@cmr.mx,55 3933 0616,http://bistrochapultepec.com/,"Mexico City, Mexico",,,restaurant
American Bistro🍔 American Restaurant Miami Beach,contact@americanbistromiamibeach.com,(305) 413-2465,https://americanbistromiamibeach.com/,"Miami, USA",,,american restaurant
Bistro Ocho,hi@bistro8miami.com,(305) 456-4543,http://www.bistro8miami.com/,"Miami, USA",,,restaurant
Bianco Bistro Cafe,biancobistrocafe@gmail.com,(786) 762-2459,http://biancobistro.com/,"Miami, USA",,,restaurant
Oliver's Bistro,oliversbistro959@gmail.com,(305) 535-3050,http://www.oliversmiamibeach.com/,"Miami, USA",,,restaurant
OUI Bistrot,contact@ouibistrot.com,(305) 395-8011,https://www.ouibistrot.com/,"Miami, USA",,,french restaurant
LOULOU,events@loulounyc.com,(212) 337-9577,https://www.loulounyc.com/,"New York City, USA",,,french restaurant
Le Rivage,info@lerivagenyc.com,(212) 765-7374,https://lerivagenyc.com/#about,"New York City, USA",,,french restaurant
Le Coucou,lecoucou.reservations@starr-restaurant.com,(212) 271-4252,https://www.lecoucou.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,"New York City, USA",,,restaurant
Le Parisien Bistrot,leparisiennyc@gmail.com,(212) 889-5489,http://www.leparisiennyc.com/,"New York City, USA",,,french restaurant
Grand Brasserie,info@vizz.group,(929) 577-4446,https://www.grandbrasserie.com/,"New York City, USA",,,french restaurant
Brasserie Bellanger,ondiscute@lanouvellegarde.com,09 54 00 99 65,https://nouvellegardegroupe.fr/,"Paris, France",,,restaurant
Sottise,hello@sottisephx.com,(602) 254-6378,http://www.sottisephx.com/,"Phoenix, USA",,,restaurant
El Zaguan Bistro,admin@elzaguanbistro.com,(602) 877-3033,https://www.elzaguanbistro.com/,"Phoenix, USA",,,mexican restaurant
Bistro Rex Restaurant,hello@bistrorex.com.au,(02) 9332 2100,http://www.bistrorex.com.au/,"Sydney, Australia",,,french restaurant
"Loulou Bistro, Boulangerie & Traiteur",hello@loulou.sydney,(02) 8000 7800,https://loulou.sydney/,"Sydney, Australia",,,french restaurant
The Bistro 19,hello@thebistro19.com.au,0478 744 494,https://thebistro19.com.au/,"Sydney, Australia",,,restaurant
Bistro Moncur,reservations@bistromoncur.com,(02) 9327 9713,http://www.bistromoncur.com.au/,"Sydney, Australia",,,french restaurant
Bistro Mosman,dine@bistromosman.com.au,(02) 9969 7022,https://www.thebuena.com.au/bistromosman/,"Sydney, Australia",,,mediterranean restaurant
Bistro Ebony,manager@bistroebony.com.au,(02) 9150 5230,https://www.bistroebony.com.au/,"Sydney, Australia",,,restaurant
Bistrô L’Hotel,reservations@portobay.pt,(11) 2183-0500,https://www.portobay.com/en/restaurants/restaurants-sao-paulo/bistro-lhotel/,"São Paulo, Brazil",,,restaurant
Le Bife,contato@lebife.com.br,(11) 4324-0783,http://www.lebife.com.br/,"São Paulo, Brazil",,,restaurant
LE BISTRO,lebistro@huge.co.jp,03-6635-1030,https://www.huge.co.jp/restaurant/french/lebistro,"Tokyo, Japan",,,french restaurant
Chez Olivier,chezolivier@chezolivier.co.jp,050-5487-1412,http://www.chezolivier.co.jp/index.html,"Tokyo, Japan",,,french restaurant
Cheffry's Artisanal Bistro,cheffry@cheffrysbistro.com,(437) 996-7357,https://cheffrysbistro.com/,"Toronto, Canada",,,restaurant
Maison T,maisont@maisontbistro.com,(416) 551-9898,http://www.maisontbistro.com/,"Toronto, Canada",,,restaurant
Jazz Bistro,events@jazzbistro.ca,(416) 363-5299,https://jazzbistro.ca/,"Toronto, Canada",,,restaurant
The Broadview Bistro + Bar,info@thebroadviewhotel.ca,(416) 362-8439,https://www.thebroadviewhotel.ca/,"Toronto, Canada",,,restaurant
Alouette Bistro,info@alouettevancouver.com,(604) 689-8862,http://alouettevancouver.com/,"Vancouver, Canada",,,french restaurant
Bacchus Restaurant & Lounge,catering@wedgewoodhotel.com,(604) 608-5319,https://wedgewoodhotel.com/dining/bacchus-restaurant/,"Vancouver, Canada",,,european restaurant
L'Abattoir,info@labattoir.ca,(604) 568-1701,https://www.labattoir.ca/,"Vancouver, Canada",,,restaurant
République Café Bakery & République Restaurant,events@republiquela.com,(310) 362-6115,http://www.republiquela.com/,"Los Angeles, USA",,,french restaurant
Grace Street Coffee & Desserts,hello@bygracestreet.com,(917) 540-2776,https://www.bygracestreet.com/,"New York City, USA",,,dessert restaurant
Vogue Cafe Sydney,reservations@voguecafe.au,(02) 8529 8850,https://voguecafe.au/,"Sydney, Australia",,,restaurant
11:59 Bar:Café,info@1159barcafe.com,(416) 730-8019,http://www.1159barcafe.com/,"Toronto, Canada",,,restaurant
The Pantry,info@thepantry.nl,020 620 0922,https://www.thepantry.nl/?redirect=yes,"Amsterdam, Netherlands",,,dutch restaurant
Black and Blue,info@restaurantblackandblue.nl,020 625 0807,https://www.restaurantblackandblue.nl/,"Amsterdam, Netherlands",,,steak house
Restaurant Olijfje,info@restaurantolijfje.nl,020 330 4444,https://www.restaurantolijfje.nl/en,"Amsterdam, Netherlands",,,mediterranean restaurant
De Blauwe Hollander,info@deblauwehollander.nl,020 627 0521,https://deblauwehollander.nl/,"Amsterdam, Netherlands",,,dutch restaurant
Blue Amsterdam,welcome@blue-amsterdam.nl,020 427 3901,http://www.blue-amsterdam.nl/,"Amsterdam, Netherlands",,,restaurant
The Seafood Bar,info@theseafoodbar.com,020 261 1563,https://www.theseafoodbar.com/,"Amsterdam, Netherlands",,,seafood restaurant
Restaurant De Belhamel,info@belhamel.nl,020 622 1095,https://www.belhamel.nl/,"Amsterdam, Netherlands",,,french restaurant
Moeders,info@moeders.com,020 626 7957,http://www.moeders.com/,"Amsterdam, Netherlands",,,dutch restaurant
Restaurant Zaza's,info@zazas.nl,020 673 6333,http://www.zazas.nl/,"Amsterdam, Netherlands",,,restaurant
Pesca Seafood Restaurant Amsterdam,hamburg@pesca.restaurant,020 334 5136,https://pesca.restaurant/,"Amsterdam, Netherlands",,,seafood restaurant
Restaurant Black Olive Amsterdam,info@restaurantblackolive.nl,06 28079666,http://www.restaurantblackolive.nl/,"Amsterdam, Netherlands",,,restaurant
Senses Restaurant,welcome@sensesrestaurant.nl,020 530 6266,http://www.sensesrestaurant.nl/,"Amsterdam, Netherlands",,,restaurant
Café-Restaurant Amsterdam,info@cradam.nl,020 682 2666,https://cradam.nl/,"Amsterdam, Netherlands",,,restaurant
Café restaurant van Kerkwijk,gaspard@qodeinteractive.com,020 620 3316,https://www.vankerkwijk.com/,"Amsterdam, Netherlands",,,restaurant
Umami by Han Amsterdam,hello@villenoir.com,020 280 1379,http://umami-restaurant.com/,"Amsterdam, Netherlands",,,asian fusion restaurant
BLESS Restaurant,hello@bless-restaurants.com,030 20619795,https://bless-restaurants.com/,"Berlin, Germany",,,asian restaurant
Schnitzelei Mitte,mitte@schnitzelei.de,030 32519422,https://schnitzelei.de/mitte/,"Berlin, Germany",,,german restaurant
Zur Gerichtslaube,info@gerichtslaube.de,030 2415697,http://www.gerichtslaube.de/,"Berlin, Germany",,,german restaurant
Amrit,info@amrit.de,030 28884840,https://www.amrit.de/,"Berlin, Germany",,,indian restaurant
Restaurant Facil,welcome@facil.de,030 590051234,https://facil.de/de/,"Berlin, Germany",,,fine dining restaurant
Gaffel Haus Berlin - Das Kölsche Konsulat in der Hauptstadt,berlin@gaffel-haus.de,030 31011693,http://www.gaffel-haus-berlin.de/,"Berlin, Germany",,,german restaurant
Restaurant Trattoria Portofino,info@portofino-trattoria.de,030 23910610,http://www.portofino-trattoria.de/,"Berlin, Germany",,,italian restaurant
Boulevard Friedrichstrasse,mail@boulevard-friedrichstrasse.de,030 2833437,http://www.boulevard.berlin/,"Berlin, Germany",,,german restaurant
Alt-Berliner Wirtshaus,wirtshaus@hamanns-gastronomie.de,030 22488205,http://www.altberliner-wirtshaus.de/,"Berlin, Germany",,,german restaurant
Ständige Vertretung,berlin@staev.de,030 2823965,https://www.staev.de/berlin-mitte.html,"Berlin, Germany",,,german restaurant
Dicke Wirtin,post@dicke-wirtin.de,030 3124952,https://dicke-wirtin.de/,"Berlin, Germany",,,german restaurant
Restauration 1840,restaurant@berlin-1840.de,030 24727401,https://www.berlin-1840.de/,"Berlin, Germany",,,german restaurant
Alla Vita,info@allavitachicago.com,(312) 667-0104,https://www.allavitachicago.com/,"Chicago, USA",,,restaurant
Boka,events@bokachicago.com,(312) 337-6070,http://www.bokachicago.com/,"Chicago, USA",,,american restaurant
The Berghoff Restaurant,jamaal@berghoff.com,(312) 427-3170,https://www.theberghoff.com/,"Chicago, USA",,,german restaurant
Cindy's Rooftop,cindysinfo@caa.bokagrp.com,(312) 792-3502,http://www.cindysrooftop.com/,"Chicago, USA",,,restaurant
Bungalow,reservation@alifehospitality.com,(713) 393-7868,https://bungalowdining.com/,"Houston, USA",,,steak house
State of Grace,eventsstateofgrace@rocketfarmrestaurants.com,(832) 942-5080,http://www.stateofgracetx.com/,"Houston, USA",,,american restaurant
JOEY Uptown,accessibility@joeyrestaurants.com,(346) 646-5639,https://joeyrestaurants.com/location/joey-uptown,"Houston, USA",,,restaurant
Nancy's Hustle,info@nancyshustle.com,(346) 571-7931,http://nancyshustle.com/,"Houston, USA",,,american restaurant
La Fisheria,lafisheria.downtown@gmail.com,(713) 802-1712,http://www.lafisheriahtx.com/,"Houston, USA",,,mexican restaurant
Josephine's,josephinesgulfcoast@gmail.com,(713) 527-8988,https://josephinesgulfcoasttradition.com/,"Houston, USA",,,seafood restaurant
Moxies Houston Restaurant,jdesjardins@eatzhospitality.com,(346) 571-6164,https://moxies.com/restaurants/houston?utm_source=GMB&utm_medium=google-location-listing&utm_campaign=organic,"Houston, USA",,,restaurant
Tattu London,london@tattu.co.uk,020 3778 1985,https://tattu.co.uk/locations/tattu-london/,"London, UK",,,asian restaurant
HIDE,info@hide.co.uk,020 3146 8666,https://hide.co.uk/?utm_source=gbp&utm_medium=organic,"London, UK",,,fine dining restaurant
The Wolseley,reservations@thewolseley.com,020 7499 6996,http://www.thewolseley.com/,"London, UK",,,british restaurant
Rules,pr@rules.co.uk,020 7836 5314,http://www.rules.co.uk/,"London, UK",,,british restaurant
Blacklock Covent Garden,coventgarden@theblacklock.com,020 3034 1394,https://theblacklock.com/coventgarden-reservations/?utm_source=GMB&utm_medium=website+click&utm_campaign=SDM&utm_id=GMB,"London, UK",,,restaurant
Berners Tavern,eh.loneb.events@editionhotels.com,020 7908 7979,http://www.bernerstavern.com/,"London, UK",,,british restaurant
Ekstedt at The Yard,enquiries.ekstedt@greatscotlandyard.com,020 7925 4749,https://www.ekstedtattheyard.com/,"London, UK",,,scandinavian restaurant
Bantof,info@bantof.com,07548 373755,https://bantof.com/,"London, UK",,,restaurant
OMA,hello@oma.london,020 8129 6760,http://oma.london/,"London, UK",,,greek restaurant
Nonos,contact@nonos.co.uk,020 7278 9700,http://nonos.co.uk/,"London, UK",,,greek restaurant
Osteria romana,info@osteriaromana.co.uk,020 7584 5819,http://osteriaromana.co.uk/,"London, UK",,,italian restaurant
Inca London,reservations@incalondon.com,020 7734 6066,http://www.incalondon.com/home,"London, UK",,,south american restaurant
Oste,ostelosangeles@outlook.com,(323) 413-2372,http://ostelosangeles.com/,"Los Angeles, USA",,,italian restaurant
Farmer's Daughters,info@farmersdaughters.com.au,(03) 9116 8682,https://www.farmersdaughters.com.au/?utm_source=Google&utm_medium=GMB&utm_campaign=Map,"Melbourne, Australia",,,restaurant
NOMAD Melbourne,eat@nomad.melbourne,(03) 9021 5240,https://nomad.melbourne/,"Melbourne, Australia",,,restaurant
Maha Restaurant,admin@maharestaurant.com.au,(03) 9629 5900,http://maharestaurant.com.au/,"Melbourne, Australia",,,middle eastern restaurant
Freyja,hello@freyjarestaurant.com,(03) 8688 7141,https://www.freyjarestaurant.com/,"Melbourne, Australia",,,restaurant
Gimlet,frontdesk@gimlet.melbourne,(03) 9277 9777,https://gimlet.melbourne/,"Melbourne, Australia",,,restaurant
La Cucina Melbourne,info@lacucinamelbourne.com.au,(03) 8456 7682,https://www.lacucinamelbourne.com.au/,"Melbourne, Australia",,,italian restaurant
Supernormal,info@supernormal.net.au,(03) 9650 8688,http://www.supernormal.net.au/,"Melbourne, Australia",,,asian fusion restaurant
Palermo,info@palermo.melbourne,(03) 9002 1600,https://www.palermo.melbourne/?utm_source=google&utm_medium=gmb,"Melbourne, Australia",,,argentinian restaurant
Tipo 00,eat@tipooo.com.au,(03) 9942 3946,https://www.tipo00.com.au/,"Melbourne, Australia",,,italian restaurant
Vue de monde,vuedemonde@vuedemonde.com.au,(03) 9691 3888,http://www.vuedemonde.com.au/,"Melbourne, Australia",,,fine dining restaurant
Kiss & Tell,info@mamasdininggroup.com.au,(03) 9095 6614,http://kissandtell.melbourne/,"Melbourne, Australia",,,asian fusion restaurant
Society,bookings@societyrestaurant.com,(03) 8618 8900,https://www.societyrestaurant.com/,"Melbourne, Australia",,,restaurant
The George on Collins,info@thegeorgeoncollins.com.au,(03) 9663 7226,http://www.thegeorgeoncollins.com.au/,"Melbourne, Australia",,,asian restaurant
Sezar Restaurant,info@sezar.com.au,(03) 9663 9882,http://sezar.com.au/,"Melbourne, Australia",,,eastern european restaurant
MoVida,reservations@movida.com.au,(03) 9663 3038,https://www.movida.com.au/,"Melbourne, Australia",,,spanish restaurant
Osteria Ilaria,eat@osteriailaria.com,(03) 9642 2287,http://www.osteriailaria.com/,"Melbourne, Australia",,,italian restaurant
Chin Chin,eat@chinchinrestaurant.com.au,(03) 8663 2000,https://www.chinchin.melbourne/,"Melbourne, Australia",,,asian restaurant
Meatmaiden,info@meatmaiden.com.au,(03) 9078 7747,http://www.meatmaiden.com.au/,"Melbourne, Australia",,,steak house
Crazy About You,info@passionrestaurantgroup.com,(305) 377-4442,https://passionrestaurantgroup.com/restaurants/crazy-about-you/,"Miami, USA",,,american restaurant
CASA NEOS,reservations@casa-neos.com,(305) 800-6367,https://www.casa-neos.com/,"Miami, USA",,,mediterranean restaurant
Gordon Ramsay Hell's Kitchen - Miami,rgrhigh@gordonramsay.com,(786) 688-0082,https://www.gordonramsayrestaurants.com/en/us/hells-kitchen/locations/miami,"Miami, USA",,,restaurant
Komodo Miami,info@komodomiami.com,(305) 534-2211,https://komodomiami.com/,"Miami, USA",,,restaurant
Mayami Wynwood,info@mayamiwynwood.com,(786) 660-1341,https://www.mayamiwynwood.com/,"Miami, USA",,,restaurant
Marabu Restaurant,hello@maraburestaurant.com,(786) 598-8012,https://www.maraburestaurant.com/,"Miami, USA",,,restaurant
Moxies Miami Restaurant,adeleon@eatzhospitality.com,(305) 549-8997,https://moxies.com/restaurants/miami-mary-brickell?utm_source=GMB&utm_medium=google-location-listing&utm_campaign=organic,"Miami, USA",,,restaurant
Santorini by Georgios,groups@santorinibygeorgios.com,(305) 672-6624,https://santorinibygeorgios.com/,"Miami, USA",,,greek restaurant
Nusr-Et Steakhouse,michelle.sabel@nusr-etus.com,(305) 415-9990,https://www.nusr-et.com.tr/distinctive-venues/miami.5.aspx?&utm_source=google+business+profile&utm_medium=organic&utm_content=gbp+link+website&utm_creative_format=gbp+link+website&business_id=15624168890025590037,"Miami, USA",,,steak house
La Grande Boucherie,contact_chicago@boucherieus.com,(212) 510-7714,https://www.boucherieus.com/,"New York City, USA",,,french restaurant
The Smith,info@thesmithrestaurant.com,(212) 685-4500,https://thesmithrestaurant.com/location/nomad/,"New York City, USA",,,american restaurant
Butter,reservations@butterrestaurant.com,(646) 719-1364,http://www.butterrestaurant.com/,"New York City, USA",,,american restaurant
1803 NYC,1803nyc@gmail.com,(212) 267-3000,https://1803nyc.com/,"New York City, USA",,,cajun restaurant
Eataly,customerservice@eataly.com,(212) 897-2895,https://www.eataly.com/us_en/stores/nyc-downtown/restaurants,"New York City, USA",,,italian restaurant
Minetta Tavern,events@minettatavernny.com,(212) 475-3850,http://www.minettatavernny.com/,"New York City, USA",,,french restaurant
Atera,reservations@ateranyc.com,(212) 226-1444,http://www.ateranyc.com/,"New York City, USA",,,american restaurant
Le Marais Restaurant Paris,contact@privateaser.com,09 87 36 09 13,https://www.privateaser.com/lieu/44897-le-marais-restaurant,"Paris, France",,,mediterranean restaurant
Chouchou,restauchouchou@gmail.com,01 45 08 02 03,http://www.restaurantchouchouparis.fr/,"Paris, France",,,french restaurant
Epicure,epicure@oetkerhotels.com,01 53 43 43 40,https://www.oetkerhotels.com/hotels/le-bristol-paris/restaurants-bars/epicure/?utm_source=google&utm_medium=organic&utm_campaign=google_local_epicure,"Paris, France",,,fine dining restaurant
Restaurant Guy Savoy,reserv@guysavoy.com,01 43 80 40 61,http://www.guysavoy.com/,"Paris, France",,,french restaurant
Au Vieux Comptoir,auvieuxcomptoir@gmail.com,01 45 08 53 08,https://www.au-vieux-comptoir.com/,"Paris, France",,,french restaurant
